checkId,name,collector,category,severity,complexity,disruptionRisk,licensingMinimum,hasAutomatedCheck,remediationMode,portalPath,powershellCommand,notes,specStatus,ticket
BACKUP-ENABLED-001,Ensure Microsoft 365 Backup is Enabled to Protect Backup CUI Confidentiality,Backup,BACKUP,High,3,False,E3,True,manual,Microsoft 365 Admin Center > Settings > Org settings > Microsoft 365 Backup > Enable,,"Enable Microsoft 365 Backup in the admin center. . Requires Microsoft 365 Backup add-on license. Configure backup scope for Exchange, SharePoint, and OneDrive",not-started,
CA-DEVICE-001,Ensure a managed device is required for authentication,CAEvaluator,DEVICE,High,4,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,Create a CA policy: Target All users > All cloud apps > Grant > Require device to be marked as compliant (or Hybrid Azure AD joined),not-started,
CA-DEVICE-002,Ensure a managed device is required to register security information,CAEvaluator,DEVICE,Medium,3,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,Create a CA policy: User actions > Register security information > Grant > Require compliant device,not-started,
CA-DEVICECODE-001,Ensure the device code sign-in flow is blocked,CAEvaluator,DEVICECODE,High,4,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,Create a CA policy: Target All users > Conditions > Authentication flows > Device code flow > Grant > Block access,not-started,
CA-EXCLUSION-001,Privileged admins excluded from Conditional Access policies,StrykerReadiness,CAEXCLUSION,High,4,False,E3,True,manual,Entra admin center > Security > Conditional Access > review each policy's exclusions,,Remove privileged admin accounts from Conditional Access policy exclusions. . Use PIM just-in-time activation instead of permanent CA exclusions. Retain only break-glass accounts as exclusions,not-started,
CA-FALLBACK-001,CA policies have no valid include target (applies to nobody),CAEvaluator,FALLBACK,High,4,True,E3,True,manual,Entra admin center > Protection > Conditional Access > Policies,,"For each enabled policy, verify the Users > Include section contains at least one valid, resolvable user, group, or role. Policies with empty include targets should be disabled or remediated with a valid fallback include (e.g., 'All users')",not-started,
CA-INTUNE-001,Ensure sign-in frequency for Intune Enrollment is set to 'Every time',CAEvaluator,INTUNE,Medium,4,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,Create a CA policy: Target Microsoft Intune enrollment app > Session > Sign-in frequency = Every time,not-started,
CA-LEGACYAUTH-001,Enable Conditional Access policies to block legacy authentication,CAEvaluator,LEGACYAUTH,High,3,True,E3,True,undetermined,,,"Security Defaults blocks legacy authentication protocols. For granular control, disable Security Defaults and create Conditional Access policies",not-started,
CA-MFA-ADMIN-001,Ensure multifactor authentication is enabled for all users in administrative roles,CAEvaluator,MFA-ADMIN,High,4,True,E3,True,undetermined,,,"Security Defaults enforces MFA for all admin roles. For granular control, disable Security Defaults and create Conditional Access policies",not-started,
CA-MFA-ALL-001,Ensure multifactor authentication is enabled for all users,CAEvaluator,MFA-ALL,High,5,True,E3,True,undetermined,,,"Security Defaults enforces MFA for all users. For granular control, disable Security Defaults and create Conditional Access policies",not-started,
CA-NAMEDLOC-001,Trusted IP-based named locations susceptible to spoofing,CAEvaluator,NAMEDLOC,High,4,True,E3,True,manual,Entra admin center > Protection > Conditional Access > Named locations,,IP-based trusted locations can be spoofed via VPN or proxy. Consider Global Secure Access compliant network checks or country-based locations for stronger assurance,not-started,
